code,category_id,title,problem,hints,solution_steps,final_answer,difficulty,keywords
លំហាត់១,basic,ដេរីវេនៃពហុធាធម្មតា (Power Rule),គណនាដេរីវេនៃអនុគមន៍ f(x) = 4x⁵ - 3x³ + 7x - 9,ប្រើរូបមន្ត (xⁿ)' = n·xⁿ⁻¹ និង (c)' = 0,"ជំហានទី១៖ អនុវត្តដេរីវេលើតួនិមួយៗ
f'(x) = (4x⁵)' - (3x³)' + (7x)' - (9)' || ជំហានទី២៖ គណនាដេរីវេតាមរូបមន្តច្បាប់ស្វ័យគុណ
• (4x⁵)' = 4 · (5x⁴) = 20x⁴
• (3x³)' = 3 · (3x²) = 9x²
• (7x)' = 7 · (1) = 7
• (9)' = 0 (ដេរីវេចំនួនថេរ) || ជំហានទី៣៖ បូកសរុបលទ្ធផលចុងក្រោយ
f'(x) = 20x⁴ - 9x² + 7",f'(x) = 20x⁴ - 9x² + 7,ងាយស្រួល (Basic),"លំហាត់១,ex1,4x^5,power rule,ពហុធា"
លំហាត់២,basic,ដេរីវេនៃកន្សោមមានឫសការ៉េ និងប្រភាគ,គណនាដេរីវេនៃ g(x) = 2√x + 3/x,ប្រើរូបមន្ត (√x)' = 1/(2√x) និង (1/x)' = -1/x²,"ជំហានទី១៖ បំបែកដេរីវេជាពីរតួ
g'(x) = (2√x)' + (3/x)' = 2(√x)' + 3(1/x)' || ជំហានទី២៖ ជំនួសតាមរូបមន្តគ្រឹះ
• 2(√x)' = 2 · (1 / (2√x)) = 1 / √x
• 3(1/x)' = 3 · (-1 / x²) = -3 / x² || ជំហានទី៣៖ តម្រៀបចម្លើយ
g'(x) = 1/√x - 3/x²  ឬ  g'(x) = (x√x - 3) / x²",g'(x) = 1/√x - 3/x²,មធ្យម (Intermediate),"លំហាត់២,ex2,2√x,3/x,ឫស,ប្រភាគ"
លំហាត់៣,arithmetic,ដេរីវេផលគុណ (Product Rule),គណនាដេរីវេនៃ h(x) = (x² + 3)(2x - 5),ប្រើច្បាប់ផលគុណ (u·v)' = u'v + uv',"ជំហានទី១៖ កំណត់អនុគមន៍ u និង v
• តាង u = x² + 3  =>  u' = 2x
• តាង v = 2x - 5  =>  v' = 2 || ជំហានទី២៖ ជំនួសចូលក្នុងរូបមន្ត (uv)' = u'v + uv'
h'(x) = (2x)(2x - 5) + (x² + 3)(2) || ជំហានទី៣៖ ពន្លាត និងបង្រួមកន្សោម
= 4x² - 10x + 2x² + 6
= 6x² - 10x + 6",h'(x) = 6x² - 10x + 6,មធ្យម (Intermediate),"លំហាត់៣,ex3,ផលគុណ,product rule,(x^2+3)(2x-5)"
លំហាត់៤,arithmetic,ដេរីវេផលចែកសនិទាន (Quotient Rule - បាក់ឌុប),គណនាដេរីវេនៃ y = (3x - 2) / (x + 4),ប្រើរូបមន្តផលចែក (u/v)' = (u'v - uv') / v²,"ជំហានទី១៖ កំណត់ u និង v
• u = 3x - 2  =>  u' = 3
• v = x + 4   =>  v' = 1 || ជំហានទី២៖ អនុវត្តរូបមន្តផលចែក
y' = [ u'v - uv' ] / v²
y' = [ 3(x + 4) - (3x - 2)(1) ] / (x + 4)² || ជំហានទី៣៖ គណនាភាគយក
= (3x + 12 - 3x + 2) / (x + 4)²
= 14 / (x + 4)²",y' = 14 / (x + 4)²,មធ្យម (BacII Standard),"លំហាត់៤,ex4,ផលចែក,quotient rule,(3x-2)/(x+4),បាក់ឌុប"
លំហាត់៥,chain_rule,ដេរីវេបណ្ដាក់ស្វ័យគុណ (Chain Rule Power),គណនាដេរីវេនៃ y = (2x³ - 5x + 1)⁴,ប្រើរូបមន្ត (uⁿ)' = n · u' · uⁿ⁻¹,"ជំហានទី១៖ កំណត់ u និង n
• តាង u = 2x³ - 5x + 1  =>  u' = 6x² - 5
• n = 4 || ជំហានទី២៖ ជំនួសចូលរូបមន្ត
y' = 4 · (2x³ - 5x + 1)' · (2x³ - 5x + 1)⁴⁻¹ || ជំហានទី៣៖ គណនាតម្លៃចុងក្រោយ
y' = 4(6x² - 5)(2x³ - 5x + 1)³",y' = 4(6x² - 5)(2x³ - 5x + 1)³,មធ្យម (Intermediate),"លំហាត់៥,ex5,chain rule,បណ្ដាក់,(2x^3-5x+1)^4"
លំហាត់៦,trig,ដេរីវេនៃផលគុណ និងត្រីកោណមាត្រ,គណនាដេរីវេនៃ f(x) = x³ · sin(2x),ប្រើផលគុណ (uv)' និងដេរីវេ (sin 2x)' = 2 cos 2x,"ជំហានទី១៖ កំណត់ u និង v
• u = x³  =>  u' = 3x²
• v = sin(2x)  =>  v' = (2x)'·cos(2x) = 2·cos(2x) || ជំហានទី២៖ ជំនួសចូលរូបមន្ត (uv)' = u'v + uv'
f'(x) = (3x²) · sin(2x) + (x³) · [2·cos(2x)] || ជំហានទី៣៖ ដាក់ x² ជាកត្តារួម
f'(x) = x² [ 3·sin(2x) + 2x·cos(2x) ]",f'(x) = x² [ 3 sin(2x) + 2x cos(2x) ],កម្រិតខ្ពស់ (Advanced),"លំហាត់៦,ex6,sin,sin(2x),x^3 sin(2x),ត្រីកោណមាត្រ"
លំហាត់៧,exp_log,ដេរីវេអនុគមន៍អិចស្បូណង់ស្យែល និងលោការីត (បាក់ឌុប),គណនាដេរីវេនៃ f(x) = (2x - 1) · e^(3x),ប្រើផលគុណ (u·v)' និង (e^(3x))' = 3e^(3x),"ជំហានទី១៖ កំណត់ u និង v
• u = 2x - 1  =>  u' = 2
• v = e^(3x)  =>  v' = 3e^(3x) || ជំហានទី២៖ ជំនួសចូលរូបមន្តផលគុណ
f'(x) = u'v + uv'
f'(x) = 2·e^(3x) + (2x - 1)·[3e^(3x)] || ជំហានទី៣៖ ដាក់ e^(3x) ជាកត្តារួម
= e^(3x) [ 2 + 3(2x - 1) ]
= e^(3x) [ 2 + 6x - 3 ]
= (6x - 1) · e^(3x)",f'(x) = (6x - 1) e^(3x),បាក់ឌុប (BacII Exam Problem),"លំហាត់៧,ex7,e^3x,exponential,អិចស្បូណង់ស្យែល,(2x-1)e^3x"
លំហាត់៨,exp_log,ដេរីវេនៃអនុគមន៍លោការីតនេពែ,គណនាដេរីវេនៃ y = ln( (x - 1) / (x + 1) )  ចំពោះ x > 1,ល្បិចសម្រួល៖ ប្រើលក្ខណៈ ln(A/B) = ln(A) - ln(B) មុននឹងធ្វើដេរីវេ,"ជំហានទី១៖ បម្លែងរូបមន្តលោការីតជាមុនសិន
y = ln(x - 1) - ln(x + 1) || ជំហានទី២៖ គណនាដេរីវេតាមរូបមន្ត (ln u)' = u'/u
y' = (x - 1)' / (x - 1) - (x + 1)' / (x + 1)
y' = 1 / (x - 1) - 1 / (x + 1) || ជំហានទី៣៖ តម្រូវភាគបែងរួម (x - 1)(x + 1) = x² - 1
y' = [ (x + 1) - (x - 1) ] / (x² - 1)
y' = 2 / (x² - 1)",y' = 2 / (x² - 1),កម្រិតខ្ពស់ (Smart BacII Technique),"លំហាត់៨,ex8,ln,ln((x-1)/(x+1)),លោការីត,logarithm"
លំហាត់៩,trig,ដេរីវេនៃអនុគមន៍ត្រីកោណមាត្រ y = tan(3x),គណនាដេរីវេនៃ y = tan(3x),ប្រើរូបមន្ត (tan u)' = u' / cos²(u),ជំហានទី១៖ តាង u = 3x នាំឱ្យ u' = 3 || ជំហានទី២៖ ជំនួសចូលរូបមន្ត y' = (3x)' / cos²(3x),y' = 3 / cos²(3x),មធ្យម,"tan,tan(3x),លំហាត់៩,ត្រីកោណមាត្រ"
លំហាត់៩,trig,ដេរីវេនៃអនុគមន៍ tan(3x),គណនាដេរីវេនៃ y = tan(3x),ប្រើរូបមន្ត (tan u)' = u'/cos²(u),ជំហានទី១៖ តាង u = 3x នាំឱ្យ u' = 3 || ជំហានទី២៖ y' = 3/cos²(3x),y' = 3/cos²(3x),មធ្យម,"tan, tan(3x), លំហាត់៩"
